last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Liriano, Francisco,2016,.239,.393,.327,.339,.154,88.4,6.4,6.4,
Hendricks, Kyle,2016,.215,.325,.266,.272,.110,86.6,10.1,3.4,
Graveman, Kendall,2016,.294,.465,.353,.343,.171,89.6,5.9,5.5,
Davies, Zach,2016,.246,.382,.300,.297,.136,87.6,11.3,5.2,
Bumgarner, Madison,2016,.219,.378,.286,.273,.158,88.5,15.6,6.7,
Archer, Chris,2016,.232,.411,.309,.296,.179,90.2,10.2,8.4,
Weaver, Jered,2016,.286,.502,.359,.336,.216,88.2,21.1,7.4,
Samardzija, Jeff,2016,.254,.423,.316,.304,.169,88.7,10.9,6.1,
Nova, Ivan,2016,.270,.449,.330,.310,.178,90.6,5.2,6.7,
Nolasco, Ricky,2016,.267,.446,.330,.310,.179,88.7,11.6,6.4,
McHugh, Collin,2016,.239,.382,.299,.296,.143,87.1,14.2,4.8,
Koehler, Tom,2016,.264,.425,.342,.350,.161,87.8,12,6.7,
Hamels, Cole,2016,.248,.400,.323,.325,.152,87.6,8,6.0,
Estrada, Marco,2016,.223,.380,.301,.300,.158,88.2,21.3,7.2,
Duffy, Danny,2016,.240,.429,.312,.291,.189,89.5,15.8,7.9,
Dickey, R.A.,2016,.277,.470,.356,.345,.193,87.7,12.8,7.3,
Santana, Ervin,2016,.258,.418,.322,.316,.160,88.3,13.1,5.9,
Porcello, Rick,2016,.247,.418,.307,.285,.172,88.4,13.7,7.0,
Lester, Jon,2016,.226,.352,.283,.283,.126,87.4,11.7,4.1,
Gonzalez, Gio,2016,.256,.415,.325,.324,.159,88.7,9,5.9,
Fiers, Mike,2016,.277,.452,.338,.325,.175,89.8,12.2,6.1,
Eickhoff, Jerad,2016,.239,.391,.300,.288,.152,88.6,15.4,5.7,
Cueto, Johnny,2016,.250,.378,.297,.295,.129,87.8,10.5,4.4,
Colon, Bartolo,2016,.277,.443,.328,.310,.166,90,12.2,5.3,
Wainwright, Adam,2016,.279,.435,.338,.335,.156,86.9,11.1,5.9,
Stroman, Marcus,2016,.262,.393,.314,.313,.131,90.4,0.5,4.9,
Shields, James,2016,.282,.487,.368,.360,.206,88.7,12.8,8.4,
Sanchez, Aaron,2016,.256,.409,.323,.320,.153,90,4.5,6.1,
Odorizzi, Jake,2016,.257,.438,.327,.314,.181,89.9,16.6,8.4,
Martinez, Carlos,2016,.229,.334,.291,.307,.105,87.2,5.7,3.8,
Happ, J.A.,2016,.258,.424,.327,.320,.166,89.5,12.2,7.4,
Hammel, Jason,2016,.251,.438,.330,.318,.187,90,12.4,7.2,
Tomlin, Josh,2016,.285,.491,.342,.307,.206,87.9,10.7,7.2,
